backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
0,0,21,952044799,13,0,-0.037368250336752284,1,0,live,0.0,13687,-0.48711140497941713,-0.2839224715204801
11,0,21,979962970,13,0,-0.0360444386352597,1,0,live,565.0,8961,0.33835058692620007,-0.2839224715204801
11,0,21,1806022630,13,0,-0.02280632162033388,1,0,live,862.0,2089,0.13198508894979574,0.8165591072538704
0,7,3,1157487780,1,0,-0.03736376648723345,1,0,live,0.0,10797,-0.07438040902660854,-0.2839224715204801
1,7,9,120613052,5,0,0.4828480129933798,1,0,live,14.138192300000002,13152,1.3701780768082215,-0.20531664446516937
24,4,21,810518979,13,0,-0.035630747478543265,1,0,live,1022.0,8801,-0.28074590700301283,-0.2839224715204801
32,4,0,1243739967,4,0,-0.03667214678927426,1,0,live,990.70738844,7130,0.33835058692620007,0.10910666375607361
5,4,21,1701269518,13,0,-0.03745098856809557,1,0,live,90.0,9853,-0.6934769029558214,0.10910666375607361
21,4,9,110532191,5,0,-0.03717280720074346,1,0,live,371.83445749,6959,0.957447080855413,-0.2839224715204801
2,6,1,109441039,0,0,-0.03763221888563191,1,0,live,129.5350416,3066,-0.6934769029558214,-0.2839224715204801
5,9,19,296999328,11,0,-0.021945407570193365,1,0,live,361.7700225,8583,0.33835058692620007,-0.3625282985757909
31,4,21,353704871,13,0,-0.030666453597946085,1,0,live,1773.0,314,0.33835058692620007,0.030500836700762864
25,0,9,764720081,5,0,-0.03705444541452824,1,0,live,874.7530539999998,7256,-0.07438040902660854,0.18771249081138436
2,0,9,739485474,5,0,-0.036827908873480586,1,0,live,175.51225,4005,-0.48711140497941713,-0.2839224715204801
49,3,21,682323879,13,0,-0.03707866652705078,1,0,live,1800.0,2334,-1.3125733968850344,-0.2839224715204801
7,4,7,1282251040,4,0,-0.03718744739858565,1,0,live,382.24786599,730,-0.28074590700301283,2.0742523401388424
33,10,21,289227206,13,0,-0.03740961945242392,1,1,live,1129.0,2234,0.957447080855413,-0.2839224715204801
0,4,1,1187719850,0,0,-0.036694437614722644,1,0,live,0.0,12428,0.5447160849026044,0.4235299719773166
6,4,21,762311173,13,0,-0.03740961945242392,1,0,live,70.0,2656,0.33835058692620007,-0.2839224715204801
2,0,21,1051001490,13,0,-0.037244142989737355,1,0,live,34.0,4879,0.33835058692620007,-0.2839224715204801
26,0,21,997038545,13,0,-0.037103487996453764,1,0,live,593.0,1245,-0.8998424009322258,-0.2839224715204801
16,4,21,971404273,13,0,-0.03749235768376721,1,0,live,378.0,13530,-1.7253043928378429,-0.2839224715204801
20,0,21,420864564,13,0,-0.03740961945242392,1,0,live,356.0,8117,-2.1380353887906516,-0.2839224715204801
220,7,21,1812253609,13,0,-0.03521705632182684,1,0,live,18270.78,4396,0.957447080855413,-0.3625282985757909
22,0,21,1590307428,13,0,-0.035630747478543265,1,0,live,717.0,9844,-2.1380353887906516,-0.2839224715204801
3,7,21,724201218,13,0,-0.037285512105408994,1,0,live,154.0,11027,-1.3125733968850344,-0.2839224715204801
2,0,21,2098940099,13,0,-0.03769837587981199,1,0,live,108.0,1582,0.13198508894979574,-0.2839224715204801
1,0,9,2109373549,5,0,-0.03694408145863323,1,0,live,32.294253999999995,9171,0.957447080855413,-0.2839224715204801
21,0,21,1174718969,13,0,-0.03356229169496111,1,0,live,2711.0,7260,0.5447160849026044,-0.2839224715204801
13,6,21,178913148,13,0,-0.03480336516511041,1,0,live,1410.0,6346,0.13198508894979574,-0.2839224715204801
28,0,21,1544146430,13,0,-0.03707866652705078,0,0,live,650.0,571,-2.344400886767056,-1.3844040502948305
8,0,9,600351018,5,0,-0.03706025404378587,1,0,live,155.854878,11827,-0.6934769029558214,-0.2839224715204801
48,0,21,95401944,13,0,-0.03720277387406571,1,0,live,1680.0,11014,-1.7253043928378429,-0.9913749150182769
2,0,3,730699203,1,0,-0.0372973988208318,1,0,live,213.67867224,12813,-0.28074590700301283,-0.2839224715204801
